year,topic,theta_bar_kY
2016,US12,6.5e-4
2016,US13,0.01677
2016,US14,0.05257
2016,US15,0.00125
2016,US16,0.10851
2016,US17,0.02896
2016,US18,0.04311
2016,US19,0.17277
2016,US20,0.00202
2017,US01,0.03176
2017,US02,0.00133
2017,US03,0.11636
2017,US04,0.14558
2017,US05,0.00838
2017,US06,0.05754
2017,US07,0.01178
2017,US08,0.10626
2017,US09,0.02586
2017,US10,6.8e-4
2017,US11,0.09381
2017,US12,0.06244
2017,US13,0.00128
2017,US14,0.03671
2017,US15,0.04246
2017,US16,0.09811
2017,US17,0.0223
2017,US18,0.09239
2017,US19,0.04464
2017,US20,3.5e-4
2018,US01,0.07306
2018,US02,4.9e-4
2018,US03,5.5e-4
2018,US04,0.38381
2018,US05,9.8e-4
2018,US06,0.0034
2018,US07,0.00775
2018,US08,0.07858
2018,US09,0.19327
2018,US10,4e-4
2018,US11,4.1e-4
2018,US12,0.17402
2018,US13,0.02501
2018,US14,0.00316
2018,US15,0.01818
2018,US16,0.02039
2018,US17,0.00152
2018,US18,0.00843
2018,US19,0.00648
2018,US20,1.2e-4
2019,US01,0.09217
2019,US02,6e-5
2019,US03,4.4e-4
2019,US04,0.52666
2019,US05,7.6e-4
2019,US06,4.6e-4
2019,US07,0.00184
2019,US08,0.00254
2019,US09,0.02869
2019,US10,4e-4
2019,US11,8e-5
2019,US12,0.22274
2019,US13,0.00289
2019,US14,0.0036
2019,US15,0.00212
2019,US16,0.04616
2019,US17,0.00102
2019,US18,0.02394
2019,US19,0.04323
2019,US20,2e-4
2020,US01,0.01116
2020,US02,2.8e-4
2020,US03,0.02644
2020,US04,0.15715
2020,US05,0.00274
2020,US06,0.22507
2020,US07,0.0067
2020,US08,0.29557
2020,US09,0.00649
2020,US10,6.7e-4
2020,US11,0.01425
2020,US12,0.07226
2020,US13,0.01759
2020,US14,8.4e-4
2020,US15,0.00701
2020,US16,0.03509
2020,US17,0.02111
2020,US18,0.07319
2020,US19,0.02628
2020,US20,1.1e-4
2021,US01,0.00433
2021,US02,2e-4
2021,US03,0.00261
2021,US04,6.9e-4
2021,US05,4.4e-4
2021,US06,0.33221
2021,US07,6.4e-4
2021,US08,0.00148
2021,US09,0.00575
2021,US10,0.25027
2021,US11,6e-4
2021,US12,0.03259
2021,US13,0.15927
2021,US14,0.00525
2021,US15,7.1e-4
2021,US16,0.08374
2021,US17,0.01912
2021,US18,0.09273
2021,US19,0.00707
2021,US20,3.1e-4
2022,US01,0.0012
2022,US02,3e-4
2022,US03,0.00155
2022,US04,0.00113
2022,US05,1.7e-4
2022,US06,0.06831
2022,US07,2.4e-4
2022,US08,0.09778
2022,US09,0.06725
2022,US10,0.33571
2022,US11,2.7e-4
2022,US12,0.00283
2022,US13,0.09213
2022,US14,3.3e-4
2022,US15,0.024140000000000002
2022,US16,0.07716
2022,US17,0.05693
2022,US18,0.16977
2022,US19,0.00268
2022,US20,1.1e-4
2023,US01,0.01048
2023,US02,8e-5
2023,US03,0.05708
2023,US04,0.00111
2023,US05,1.8e-4
2023,US06,0.02385
2023,US07,7e-5
2023,US08,0.02023
2023,US09,0.0015
2023,US10,0.15195
2023,US11,0.00136
2023,US12,8.7e-4
2023,US13,0.0603
2023,US14,0.01986
2023,US15,3.2e-4
2023,US16,0.08899
2023,US17,0.42056
2023,US18,0.13941
2023,US19,0.00179
2023,US20,2e-5
2024,US01,0.01096
2024,US02,1e-5
2024,US03,7.4e-4
2024,US04,0.00587
2024,US05,4e-5
2024,US06,0.12468
2024,US07,1e-5
2024,US08,0.01412
2024,US09,0.01141
2024,US10,0.26312
2024,US11,1.5e-4
2024,US12,6.2e-4
2024,US13,0.09652
2024,US14,1.1e-4
2024,US15,0.0045
2024,US16,0.04823
2024,US17,0.09156
2024,US18,0.32561
2024,US19,0.00172
2024,US20,2e-5
2025,US01,0.01274
2025,US02,1e-5
2025,US03,0.00889
2025,US04,0.05451
2025,US05,4e-5
2025,US06,0.04594
2025,US07,9e-5
2025,US08,0.03847
2025,US09,0.09023
2025,US10,8.4e-4
2025,US11,2.7e-4
2025,US12,6.4e-4
2025,US13,0.14728
2025,US14,2.7e-4
2025,US15,0.47193
2025,US16,0.02274
2025,US17,0.01297
2025,US18,0.08649
2025,US19,0.00565
2025,US20,0
